Size;.vmem;.vswp;.log;.vmdk;others
"[0 - 16[";10;6;8;11;60
"[16 - 32[";9;5;11;11;97
"[32 - 64[";13;22;19;20;176
"[64 - 128[";36;37;43;38;296
"[128 - 256[";58;67;59;65;582
"[256 - 512[";107;101;92;102;820
"[512 - 1K[";134;141;152;140;1232
"[1K - 2K[";463;485;433;462;4130
"[2K - 4K[";254;229;268;245;2070
"[4K - 8K[";252;275;265;256;2278
"[8K - 16K[";258;261;267;276;2444
"[16K - 32K[";272;275;277;248;2375
"[32K - 64K[";217;230;269;236;2178
"[64K - 128K[";197;192;174;216;1786
"[128K - 256K[";187;150;160;161;1400
"[256K - 512K[";104;94;83;87;1029
"[512K - 1M[";58;70;72;57;662
"[1M - 512M[";103;93;84;101;869
"[512M - 1G[";0;0;0;0;1
