#strace - events; complete; incomplete;
raw; 72568068; 0;
detailedP_{args}; 67150556; 0;
detailedP_{all}; 57486611; 0;
detailedP_{all}C_{plain}; 48326868; 0;


#strace - throughput
raw; 44251.084; 145.029;
detailedP_{args}; 41009.788; 112.008;
detailedP_{all}; 35104.221; 84.054;
detailedP_{all}C_{plain}; 29506.706; 121.176;


#sysdig-file - events; complete; incomplete;
detailedP_{all}; 234890682; 41;
detailedP_{all}C_{plain}; 208150806; 41;


#sysdig-file - throughput
detailedP_{all}; 143485.224; 213.507;
detailedP_{all}C_{plain}; 127140.22; 355.966;


#sysdig-elk - events; complete; incomplete;
detailedP_{all}; 1963025; 136;
detailedP_{all}C_{plain}; 1850075; 313;


#sysdig-elk - throughput
detailedP_{all}; 143353.937; 1221.413;
detailedP_{all}C_{plain}; 142224.725; 1264.775;


#dio-file - events; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
raw; 133233410.333; 177996.317; 0.0; 0.0; 27.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 133233424.333; 177996.317; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 133233410.333; 177996.317; 0.0; 0.0; 14.0; 0.0; 133233410.333; 177996.317; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0;
detailed_{fds}; 136379360.333; 12465256.058; 9097552.667; 831018.073; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 141988342.0; 7254751.533; 0.0; 0.0; 1710548.667; 2962757.199; 0.0; 0.0; 3270547.667; 5664754.727; 218030.667; 377640.192; 0.667; 1.155; 133108806.667; 6801320.216; 8879522.0; 453432.471; 13.333; 1.155; 133108806.667; 6801320.216; 7168973.333; 2509466.566; 0.0; 0.0; 0.0; 0.0;
detailedP_{all}; 158778667.333; 244251.187; 10590842.667; 16285.065; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 116420131.0; 78575.508; 19656218.667; 36585.637; 6557215.667; 12326.861; 0.0; 0.0; 49639933.0; 312483.067; 3309451.333; 20834.962; 2.667; 3.055; 109138728.333; 73663.879; 7281391.333; 4913.752; 11.333; 3.055; 109138728.333; 73663.879; 724175.667; 8708.092; 0.0; 0.0; 0.0; 0.0;
