vanilla; used; free; buff; cach;
vanilla; 379804216; 13948153031; 48424321.16; 2024656521;


strace; used; free; buff; cach;
raw; 373272186; 10301938410; 52325194.93; 5575441493;
detailedP_{args}; 371794849.1; 10257552128; 50559312.9; 5621976657;
detailedP_{all}; 372263526.6; 9833685714; 50222887.25; 6034516377;
detailedP_{all}C_{plain}; 370629385.4; 1603679875; 51620195.81; 13981453913;


sysdig-file; used; free; buff; cach;
detailedP_{all}; 422030964.8; 4063179862; 53327315.57; 11578842574;
detailedP_{all}C_{plain}; 415892899.5; 1998692346; 56727399.09; 13450968858;


sysdig-elk; used; free; buff; cach;
detailedP_{all}; 1641702772; 13384433317; 53672693.11; 1335555814;
detailedP_{all}C_{plain}; 1641529033; 13376522475; 54317481.54; 1343188541;


dio-file; used; free; buff; cach;
raw; 1742158698; 1575282012; 51642881.89; 12687273728;
detailed; 2079320833; 1524339397; 51548992.83; 12405609563;
detailedP_{all}; 2045085759; 1829498581; 52186978.79; 12159646526;
detailedP_{all}C_{uhash}; 3106060752; 2123277622; 51821407.5; 10858235042;
detailedP_{all}C_{khash}; 2020334419; 1980162058; 51844209.45; 12042303997;


dio-elk; used; free; buff; cach;
raw; 2293519298; 12767759463; 52846619.75; 1313634701;
detailed; 2574461435; 12491029713; 53356930.71; 1309140235;
detailedP_{all}; 2563238180; 12496040342; 52897566.94; 1315887052;
detailedP_{all}C_{uhash}; 3722160734; 11336682457; 52878479.55; 1316508750;
detailedP_{all}C_{khash}; 2579543739; 12480878161; 52755525.5; 1315091104;
