#all;calls; calls-DEV;returned; returned-DEV;discarded; discarded-DEV;lost; lost-DEV;errors; errors-DEV;handled; handled-DEV;incomplete; incomplete-DEV;truncated; truncated-DEV;saved; saved-DEV;
FILE\\\_raw; 190573432,0; 268799,581;60985308,333; 539313,823;0,0; 0,0;129588110,667; 759472,795;6534,0; 0,0;60985308,333; 539313,823;0,0; 0,0;0,0; 0,0;60985300,0; 539314,473;
ELK1\\\_raw; 237236909,0; 320890,198;29125067,333; 62481,275;0,0; 0,0;208111828,667; 356431,342;6534,0; 0,0;29125067,333; 62481,275;0,0; 0,0;0,0; 0,0;29125059,667; 62481,073;
FILE\\\_detailed; 193574747,0; 595480,113;66586333,667; 575616,441;6,0; 0,0;126988394,333; 1133868,642;6534,0; 0,0;66586333,667; 575616,441;2885563,333; 140808,558;0,0; 0,0;63700760,667; 694431,276;
ELK1\\\_detailed; 241062243,0; 123380,075;32628307,667; 137729,571;6,0; 0,0;208433916,333; 224211,036;6534,0; 0,0;32628307,667; 137729,571;1981968,0; 9322,93;0,0; 0,0;30646331,333; 128417,162;
FILE\\\_detailed\\\_paths; 188948937,667; 340419,444;63464945,667; 378546,082;6,0; 0,0;125483973,0; 602688,044;6534,0; 0,0;63464945,667; 378546,082;14678166,333; 206899,489;0,0; 0,0;48786770,667; 366367,992;
ELK1\\\_detailed\\\_paths; 232433711,333; 497767,195;35834207,0; 110281,6;6,0; 0,0;196599485,333; 570826,233;6534,0; 0,0;35834207,0; 110281,6;8869149,667; 31498,528;0,0; 0,0;26965050,333; 78786,658;
FILE\\\_detailed\\\_all; 188362303,667; 485238,628;63096820,333; 580703,277;6,0; 0,0;125265464,333; 419153,805;6534,0; 0,0;63096820,333; 580703,277;14354410,0; 133786,461;0,0; 0,0;48742402,667; 457471,258;
ELK1\\\_detailed\\\_all; 230865050,667; 110657,77;34761824,0; 91237,414;6,0; 0,0;196103207,667; 132192,118;6534,0; 0,0;34761824,0; 91237,414;8604227,667; 31341,326;0,0; 0,0;26157589,0; 59894,707;
FILE\\\_detailed\\\_all\\\_plain; 177881370,667; 1170638,315;49425266,667; 1430387,546;6,0; 0,0;128456085,0; 434230,799;6534,0; 0,0;49425266,667; 1430387,546;18931079,333; 1578211,594;8495543,0; 245850,498;38607843,333; 531728,804;
ELK1\\\_detailed\\\_all\\\_plain; 217120443,0; 598553,979;34004367,333; 281036,092;6,0; 0,0;183116056,667; 856347,474;6534,0; 0,0;34004367,333; 281036,092;14789263,0; 113244,556;5853678,667; 48423,908;25555703,0; 216979,97;
FILE\\\_detailed\\\_all\\\_khash; 117789127,0; 324829,638;63700012,333; 112072,802;6,0; 0,0;54089095,667; 215745,801;6534,0; 0,0;63700012,333; 112072,802;14308425,0; 37371,126;10948463,667; 20298,983;49391577,0; 111548,961;
ELK1\\\_detailed\\\_all\\\_khash; 146994379,0; 140708,134;34656917,667; 62128,499;6,0; 0,0;112337442,333; 202377,453;6534,0; 0,0;34656917,667; 62128,499;8519415,667; 21566,755;5957273,0; 10870,625;26137493,667; 40617,028;

