#calls;
setup;elk;elk-DEV;null;null-DEV;none;none-DEV;
t01\\\_raw;19.626;0;7.966;0.048;7.035;0.229;
t02\\\_detailed;14.985;0.044;6.049;0.158;6.003;0.152;
t03\\\_detailed\\\_paths;14.441;0;6.79;0.111;6.874;0.125;
t04\\\_detailed\\\_all;14.619;0;8.456;0.663;7.852;0.405;
t05\\\_detailed\\\_all\\\_plain;13.496;0;7.95;0.029;7.949;0.013;
t06\\\_detailed\\\_all\\\_khash;9.81;0.007;7.866;0.031;7.896;0.017;


#submitted;
setup;elk;elk-DEV;null;null-DEV;none;none-DEV;
t01\\\_raw;2.196;0;5.977;0.078;6.073;0.089;
t02\\\_detailed;1.809;0.006;4.573;0.066;4.537;0.14;
t03\\\_detailed\\\_paths;2.043;0;4.142;0.034;4.207;0.051;
t04\\\_detailed\\\_all;2.597;0;4.868;0.241;4.715;0.149;
t05\\\_detailed\\\_all\\\_plain;2.657;0;3.947;0.012;3.935;0.042;
t06\\\_detailed\\\_all\\\_khash;2.577;0.007;4.96;0.031;4.975;0.009;


#lost;
setup;elk;elk-DEV;null;null-DEV;none;none-DEV;
t01\\\_raw;18.343;0;5.119;0.472;4.173;0.4;
t02\\\_detailed;13.942;0.057;4.448;0.367;4.606;0.145;
t03\\\_detailed\\\_paths;13.162;0;4.709;0.049;4.772;0.033;
t04\\\_detailed\\\_all;12.724;0;5.236;0.105;5.234;0.137;
t05\\\_detailed\\\_all\\\_plain;11.431;0;5.308;0.339;5.639;0.051;
t06\\\_detailed\\\_all\\\_khash;7.849;0.026;3.33;0.058;3.332;0.018;
