stats; calls; calls-DEV; EP; EP-dev; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; lost; lost-DEV; returned; returned-DEV; saved; saved-DEV; truncated; truncated-DEV;
t01\\\_dio\\\_1ES\\\_raw; 256157426.667; 2160922.999; 0.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 23821687.667; 297309.78; 0.0; 0.0; 232335726.0; 2404538.488; 23821687.667; 297309.78; 23821680.333; 297309.976; 0.0; 0.0;
t01\\\_dio\\\_nop\\\_raw; 161405633.0; 206969.317;  0.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 161405620.0; 206969.317; 0.0; 0.0; 0.0; 0.0; 161405620.0; 206969.317; 161405606.0; 206969.317; 0.0; 0.0;
t02\\\_dio\\\_1ES\\\_detailed; 260141825.333; 2780506.072;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 30554729.667; 3652391.386; 1860876.333; 218059.83; 229587076.667; 6423435.379; 30554729.667; 3652391.386; 28693845.667; 3434331.681; 0.0; 0.0;
t02\\\_dio\\\_nop\\\_detailed; 157366138.0; 67892.741;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 157366119.0; 67892.741; 0.0; 0.0; 0.0; 0.0; 157366119.0; 67892.741; 157366105.0; 67892.741; 0.0; 0.0;
t03\\\_dio\\\_1ES\\\_detailed\\\_paths; 256197568.0; 3134154.752;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 31666496.0; 3850839.913; 7845293.667; 953987.029; 224531053.0; 6927544.6; 31666496.0; 3850839.913; 23821194.333; 2896854.971; 0.0; 0.0;
t03\\\_dio\\\_nop\\\_detailed\\\_paths; 189106067.667; 1181014.449;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 123625700.333; 874948.55; 27853449.333; 159926.187; 65480348.333; 2047415.901; 123625700.333; 874948.55; 95772240.667; 716489.328; 0.0; 0.0;
t04\\\_dio\\\_1ES\\\_detailed\\\_all; 255498993.667; 4030238.761;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 30852961.0; 3524282.131; 7639119.333; 873251.583; 224646013.667; 7552119.017; 30852961.0; 3524282.131; 23213834.0; 2651031.05; 0.0; 0.0;
t04\\\_dio\\\_nop\\\_detailed\\\_all; 188383698.667; 500105.993;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 122398389.333; 437414.815; 27371906.333; 34322.668; 65985290.333; 934413.102; 122398389.333; 437414.815; 95026472.333; 403818.851; 0.0; 0.0;
t05\\\_dio\\\_1ES\\\_detailed\\\_all\\\_plain; 238116970.0; 163476.63;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 34500573.0; 48299.776; 14997140.667; 20934.901; 203616378.0; 208096.857; 34500573.0; 48299.776; 25931111.667; 36881.53; 5931007.667; 8476.908;
t05\\\_dio\\\_1ES\\\_detailed\\\_all\\\_uhash; 245126581.333; 5801539.47;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 30501269.667; 3646286.72; 13216996.667; 1583800.762; 214625292.667; 9425446.985; 30501269.667; 3646286.72; 22948811.0; 2741257.369; 5242681.667; 626757.714;
t05\\\_dio\\\_nop\\\_detailed\\\_all\\\_plain; 186158698.333; 232053.563;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 82564458.333; 434954.407; 32750975.333; 276700.601; 103594221.0; 663540.771; 82564458.333; 434954.407; 63849620.0; 345356.505; 14190585.333; 74503.156;
t05\\\_dio\\\_nop\\\_detailed\\\_all\\\_uhash; 185299461.333; 125054.524;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 82621005.333; 114614.537; 32795146.0; 38071.402; 102678437.0; 221317.188; 82621005.333; 114614.537; 63880698.0; 97041.905; 14200425.333; 20108.558;
t06\\\_dio\\\_1ES\\\_detailed\\\_all\\\_khash; 161439679.0; 2872741.999;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 30660976.667; 3561232.149; 7561158.667; 871633.026; 130778683.333; 6433895.95; 30660976.667; 3561232.149; 23099810.333; 2689627.08; 5269983.667; 612332.385;
t06\\\_dio\\\_nop\\\_detailed\\\_all\\\_khash; 106849337.0; 86749.963;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 106849318.0; 86749.963; 0.0; 0.0; 0.0; 0.0; 106849318.0; 86749.963; 106849304.0; 86749.963; 18364694.667; 14627.899;
t07\\\_dio\\\_1ES\\\_detailed\\\_filter\\\_tid; 65837738.667; 322205.428;  0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 30916067.333; 1415456.45; 2890589.333; 286725.582; 34921671.333; 1720095.296; 30916067.333; 1415456.45; 28025477.667; 1170289.496; 0.0; 0.0;
t07\\\_dio\\\_nop\\\_detailed\\\_filter\\\_tid; 43679627.0; 171074.943;  0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 43675431.333; 173435.085; 0.0; 0.0; 4195.667; 3018.662; 43675431.333; 173435.085; 43675430.333; 173435.085; 0.0; 0.0;
t08\\\_dio\\\_1ES\\\_detailed\\\_filter\\\_orwc; 260384942.667; 3689514.803;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 30850678.667; 3521820.825; 1878267.333; 211500.046; 229534245.0; 7211247.384; 30850678.667; 3521820.825; 28972402.667; 3310323.706; 0.0; 0.0;
t08\\\_dio\\\_nop\\\_detailed\\\_filter\\\_orwc; 157316335.667; 226723.09;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 157316316.667; 226723.09; 0.0; 0.0; 0.0; 0.0; 157316316.667; 226723.09; 157316302.667; 226723.09; 0.0; 0.0;
t09\\\_dio\\\_1ES\\\_detailed\\\_filter\\\_read; 259131147.667; 703567.984;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 30737634.0; 3492532.333; 1870761.0; 209604.748; 228393494.667; 4154409.386; 30737634.0; 3492532.333; 28866865.0; 3282931.258; 0.0; 0.0;
t09\\\_dio\\\_nop\\\_detailed\\\_filter\\\_read; 157420641.333; 210917.656;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 157420622.333; 210917.656; 0.0; 0.0; 0.0; 0.0; 157420622.333; 210917.656; 157420608.333; 210917.656; 0.0; 0.0;
t10\\\_dio\\\_1ES\\\_detailed\\\_filter\\\_stat; 258671030.333; 1853058.514;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 32329712.333; 1014713.113; 1966506.667; 61463.454; 226341299.0; 2849848.62; 32329712.333; 1014713.113; 30363197.667; 953251.307; 0.0; 0.0;
t10\\\_dio\\\_nop\\\_detailed\\\_filter\\\_stat; 157425759.0; 79012.222;  0.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 157425740.0; 79012.222; 0.0; 0.0; 0.0; 0.0; 157425740.0; 79012.222; 157425726.0; 79012.222; 0.0; 0.0;
