stats; calls; calls-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; lost; lost-DEV; returned; returned-DEV; saved; saved-DEV; truncated; truncated-DEV;
t01\\\_dio\\\_1ES\\\_raw; 260597172.5; 538857.087; 0.0; 0.0; 6534.0; 0.0; 23269217.5; 125485.291; 0.0; 0.0; 237327896.0; 664342.377; 23269217.5; 125485.291; 23269200.5; 125486.705; 0.0; 0.0;
t02\\\_dio\\\_1ES\\\_detailed; 265923924.0; 2472490.784; 6.0; 0.0; 6534.0; 0.0; 28236954.0; 2325114.175; 1726458.5; 140290.692; 237686905.0; 4797604.959; 28236954.0; 2325114.175; 26510475.0; 2184822.775; 0.0; 0.0;
t03\\\_dio\\\_1ES\\\_detailed\\\_paths; 265513793.0; 417447.559; 6.0; 0.0; 6534.0; 0.0; 26355403.5; 169970.793; 6550067.5; 43070.581; 239158324.5; 247476.767; 26355403.5; 169970.793; 19805319.0; 126900.211; 0.0; 0.0;
t04\\\_dio\\\_1ES\\\_detailed\\\_all; 264501736.5; 64518.544; 6.0; 0.0; 6534.0; 0.0; 25107114.0; 42922.796; 6240368.0; 10725.396; 239394557.5; 21595.748; 25107114.0; 42922.796; 18866727.5; 32196.693; 0.0; 0.0;
t05\\\_dio\\\_1ES\\\_detailed\\\_all\\\_plain; 262820923.0; 289072.323; 6.0; 0.0; 6534.0; 0.0; 19704493.0; 2097.279; 8604099.0; 292.742; 243116365.0; 286975.045; 19704493.0; 2097.279; 14800510.5; 729.027; 3416301.0; 1384.515;
t06\\\_dio\\\_1ES\\\_detailed\\\_all\\\_khash; 166444924.0; 93990.048; 6.0; 0.0; 6534.0; 0.0; 25610140.5; 110757.671; 6333902.0; 30126.992; 140834718.5; 204747.718; 25610140.5; 110757.671; 19276216.5; 80633.508; 4406368.5; 19610.192;
t07\\\_dio\\\_1ES\\\_detailed\\\_filter\\\_tid; 3976226.5; 21976.172; 0.0; 0.0; 0.0; 0.0; 3956562.5; 22165.676; 0.0; 0.0; 19664.0; 189.505; 3956562.5; 22165.676; 3956561.5; 22165.676; 0.0; 0.0;
t08\\\_dio\\\_1ES\\\_detailed\\\_filter\\\_orwc; 265929963.5; 3119211.353; 6.0; 0.0; 6534.0; 0.0; 28115072.0; 2499055.372; 1718133.0; 147588.742; 237814826.5; 5618266.725; 28115072.0; 2499055.372; 26396923.0; 2351473.701; 0.0; 0.0;
t09\\\_dio\\\_1ES\\\_detailed\\\_filter\\\_read; 266103996.5; 2608277.207; 6.0; 0.0; 6534.0; 0.0; 27857139.0; 2074748.877; 1703214.5; 122767.172; 238246792.5; 4683026.083; 27857139.0; 2074748.877; 26153913.0; 1951973.926; 0.0; 0.0;
t10\\\_dio\\\_1ES\\\_detailed\\\_filter\\\_stat; 263970778.0; 571784.928; 6.0; 0.0; 6534.0; 0.0; 29698787.5; 267694.364; 1813934.5; 15213.402; 234271925.5; 839479.292; 29698787.5; 267694.364; 27884837.5; 252484.497; 0.0; 0.0;
