#file;calls;returned;discarded;lost;errors;handled;incomplete;truncated;saved;
file-raw; 190573432,0; 60985308,333; 0,0; 129588110,667; 6534,0; 60985308,333; 0,0; 0,0; 60985300,0;
elk1-raw; 237236909,0; 29125067,333; 0,0; 208111828,667; 6534,0; 29125067,333; 0,0; 0,0; 29125059,667;
file-detailed; 193574747,0; 66586333,667; 6,0; 126988394,333; 6534,0; 66586333,667; 2885563,333; 0,0; 63700760,667;
elk1-detailed; 241062243,0; 32628307,667; 6,0; 208433916,333; 6534,0; 32628307,667; 1981968,0; 0,0; 30646331,333;
file-detailed\\\_paths; 188948937,667; 63464945,667; 6,0; 125483973,0; 6534,0; 63464945,667; 14678166,333; 0,0; 48786770,667;
elk1-detailed\\\_paths; 232433711,333; 35834207,0; 6,0; 196599485,333; 6534,0; 35834207,0; 8869149,667; 0,0; 26965050,333;
file-detailed\\\_all; 188362303,667; 63096820,333; 6,0; 125265464,333; 6534,0; 63096820,333; 14354410,0; 0,0; 48742402,667;
elk1-detailed\\\_all; 230865050,667; 34761824,0; 6,0; 196103207,667; 6534,0; 34761824,0; 8604227,667; 0,0; 26157589,0;
file-detailed\\\_all\\\_plain; 177881370,667; 49425266,667; 6,0; 128456085,0; 6534,0; 49425266,667; 18931079,333; 8495543,0; 38607843,333;
elk1-detailed\\\_all\\\_plain; 217120443,0; 34004367,333; 6,0; 183116056,667; 6534,0; 34004367,333; 14789263,0; 5853678,667; 25555703,0;
file-detailed\\\_all\\\_khash; 117789127,0; 63700012,333; 6,0; 54089095,667; 6534,0; 63700012,333; 14308425,0; 10948463,667; 49391577,0;
elk1-detailed\\\_all\\\_khash; 146994379,0; 34656917,667; 6,0; 112337442,333; 6534,0; 34656917,667; 8519415,667; 5957273,0; 26137493,667;


#elk;calls;returned;discarded;lost;errors;handled;incomplete;truncated;saved;
