# rate 12.5K
#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
raw; 17990437.0; 5513.412; 0.0; 0.0; 27.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 17990451.0; 5513.412; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 17990437.0; 5513.412; 0.0; 0.0; 14.0; 0.0; 17990437.0; 5513.412; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0;
detailed; 17953433.667; 42339.392; 1202424.0; 2822.588; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 19155865.667; 45161.98; 0.0; 0.0; 272224.667; 236879.951; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 17953427.667; 42339.392; 1202424.0; 2822.588; 14.0; 0.0; 17953427.667; 42339.392; 930199.333; 234067.759; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all; 17926504.0; 66959.019; 1200628.667; 4463.935; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 19127140.667; 71422.954; 1283961.667; 1209584.088; 427981.0; 403190.136; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 17926498.0; 66959.019; 1200628.667; 4463.935; 14.0; 0.0; 17926498.0; 66959.019; 772647.667; 398967.732; 0.0; 0.0; 0.0; 0.0;
detailed\\\_all\\\_uhash; 17883689.0; 22368.844; 1197774.333; 1491.256; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 19081471.333; 23860.101; 479257.0; 255220.223; 79874.0; 42535.204; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 17883683.0; 22368.844; 1197774.333; 1491.256; 14.0; 0.0; 17883683.0; 22368.844; 1117900.333; 41043.967; 0.0; 0.0; 3279969.667; 4085.302;
detailed\\\_all\\\_khash; 17913554.0; 7481.758; 1199765.333; 498.784; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 19113327.333; 7980.542; 1903000.0; 859130.931; 634331.0; 286382.026; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 17913548.0; 7481.758; 1199765.333; 498.784; 14.0; 0.0; 17913548.0; 7481.758; 565434.333; 285922.591; 0.0; 0.0; 3285436.667; 1377.133;


# rate 15K
#stats; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
raw; 21352038.667; 4912.179; 0.0; 0.0; 27.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 20778442.0; 48338.6; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 573608.333; 47731.696; 0.0; 0.0; 2.333; 0.577; 20778430.333; 48338.482; 0.0; 0.0; 11.667; 0.577; 20778430.333; 48338.482; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0;
detailed; 21356899.667; 7287.574; 1429323.333; 485.832; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 21884891.333; 191754.82; 0.0; 0.0; 679827.333; 2820.076; 0.0; 0.0; 845004.0; 186435.981; 56333.333; 12428.409; 2.333; 0.577; 20511889.667; 179770.436; 1372990.0; 11984.089; 11.667; 0.577; 20511889.667; 179770.436; 693162.667; 13632.467; 0.0; 0.0; 0.0; 0.0;
