#operations_per_sec;
limit; vanilla; vanilla-dev; raw; raw-dev; detailed; detailed-dev; detailed\\\_all; detailed\\\_all-dev; detailed\\\_all\\\_uhash; detailed\\\_all\\\_uhash-dev; detailed\\\_all\\\_khash; detailed\\\_all\\\_khash-dev;
12.5 k; 10982.112; 0; 10966.895; 0; 10956.143; 0; 10956.837; 0; 10941.442; 0; 10923.823; 0;
25 k;   21978.483; 0; 22179.12; 0; 22229.316; 0; 22250.707; 0; 22209.115; 0; 22325.17; 0;
50 k;   44440.358; 0; 44217.88; 0; 44418.655; 0; 44432.679; 0; 44400.19; 0; 35696.827; 0;
100 k;  83631.042; 0; 70790.889; 0; 65535.967; 0; 63458.957; 0; 62027.663; 0; 43987.282; 0;
max;    161995.946; 336.851; 155829.839; 2086.663; 148939.476; 1301.381; 146153.538; 2688.59; 142166.591; 458.142; 90280.194; 408.64;


#lost
limit; raw; raw-dev; detailed; detailed-dev; detailed\\\_all; detailed\\\_all-dev; detailed\\\_all\\\_uhash; detailed\\\_all\\\_uhash-dev; detailed\\\_all\\\_khash; detailed\\\_all\\\_khash-dev;
12.5 k;  0;0; 0;0; 0;0; 0;0; 0;0;
25 k;    38.61;0; 37.83;0; 18.62;0; 34.38;0; 23.90;0
50 k;    68.53;0; 60.62;0; 63.80;0; 63.71;0; 49.48;0
100 k;   80.24;0; 72.28;0; 67.98;0; 69.74;0; 64.55;0
max;     90.80;0; 88.37;0; 88.45;0; 88.67;0; 77.86;0


# janela pequena - throughput
limit; vanilla; vanilla-dev; raw; raw-dev; detailed; detailed-dev; detailed\\\_all; detailed\\\_all-dev; detailed\\\_all\\\_uhash; detailed\\\_all\\\_uhash-dev; detailed\\\_all\\\_khash; detailed\\\_all\\\_khash-dev;
12.5;   10982.112; 0; 10966.895; 0; 10956.143; 0; 10956.837; 0; 10941.442; 0; 10923.823; 0;
15;     12941.151; 0; 13021.821; 0; 13028.072; 0; 13035.61; 0; 13051.328; 0; 13073.553; 0;
17.5;   15572.113; 0; 15505.214; 0; 15512.734; 0; 15525.03; 0; 15534.433; 0; 15405.293; 0;
20;     17796.084; 0; 17643.118; 0; 17630.068; 0; 17644.149; 0; 17661.39; 0; 17646.669; 0;
22.5;   19701.545; 0; 19783.402; 0; 19791.192; 0; 19795.159; 0; 19804.365; 0; 19716.047; 0;
25;     21978.483; 0; 22179.12; 0; 22229.316; 0; 22250.707; 0; 22209.115; 0; 22325.17; 0;


# janela pequena - lost
limit; raw; raw-dev; detailed; detailed-dev; detailed\\\_all; detailed\\\_all-dev; detailed\\\_all\\\_uhash; detailed\\\_all\\\_uhash-dev; detailed\\\_all\\\_khash; detailed\\\_all\\\_khash-dev;
12.5k;  0;0; 0;0; 0;0; 0;0; 0;0;
15k;    3.20;0; 4.87;0; 0.00;0; 0.80;0; 2.39;0
17.5k;  15.17; 0; 17.39; 0; 0.00; 0; 0.00; 0; 0.00; 0;
20k;    27.53;0; 26.45;0; 3.41;0; 18.65;0; 21.86;0
22.5k;  31.63;0; 19.12;0; 27.24;0; 12.44;0; 12.44;0;
25k;    38.61;0; 37.83;0; 18.62;0; 34.38;0; 23.90;0
