"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud107",,,,"User:","gsd"
"Cmdline:","dstat --time --cpu --mem --net --disk --swap --output /mnt/nvme/tracing_data/sysdig/dstat.csv",,,,"Date:","01 Jun 2023 10:06:57 WEST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"swap",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","used","free"
01-06 10:11:58,19.799,79.699,0.501,0,0,450973696,9721303040,40005632,6072070144,60,0,0,872448,43311104,984289280,
01-06 10:11:59,19.154,80.100,0.746,0,0,450916352,9691103232,40005632,6101504000,0,0,0,0,43311104,984289280,
01-06 10:12:00,20.250,78.500,0.750,0.500,0,450600960,9663393792,40005632,6128726016,60,0,0,61845504,43311104,984289280,
01-06 10:12:01,18.250,81.250,0.500,0,0,450220032,9631010816,40005632,6160523264,0,0,0,0,43311104,984289280,
01-06 10:12:02,16.625,70.277,1.763,11.335,0,450478080,9608011776,40153088,6182621184,120,42,12288,758902784,43311104,984289280,
01-06 10:12:03,19.095,78.643,1.005,1.256,0,450859008,9581285376,40153088,6208233472,0,0,0,210243584,43311104,984289280,
01-06 10:12:04,19.549,79.699,0.752,0,0,450170880,9552404480,40153088,6236827648,60,0,0,0,43311104,984289280,
01-06 10:12:05,19.652,79.602,0.746,0,0,451031040,9520828416,40153088,6266724352,0,0,0,0,43311104,984289280,
01-06 10:12:06,17.588,81.910,0.503,0,0,450813952,9491288064,40153088,6295879680,60,0,0,0,43311104,984289280,
01-06 10:12:07,19.250,77,1.750,2,0,450785280,9464582144,40292352,6321696768,149,0,4096,218140672,43311104,984289280,
01-06 10:12:08,19.849,78.894,0.754,0.503,0,450891776,9435717632,40292352,6349709312,60,0,0,176578560,43311104,984289280,
01-06 10:12:09,19.451,79.800,0.748,0,0,451239936,9403740160,40292352,6380322816,0,0,0,0,43311104,984289280,
01-06 10:12:10,20.551,79.198,0.251,0,0,451002368,9376837632,40292352,6406656000,60,0,0,0,43311104,984289280,
01-06 10:12:11,18.250,81.250,0.500,0,0,450318336,9347584000,40292352,6435971072,0,0,0,0,43311104,984289280,
01-06 10:12:12,18.296,77.945,0.752,3.008,0,451268608,9320378368,40427520,6461313024,60,0,0,31195136,43311104,984289280,
01-06 10:12:13,19.403,79.602,0.746,0.249,0,448442368,9297104896,40427520,6486712320,0,0,0,57552896,43311104,984289280,
01-06 10:12:14,20.449,78.803,0.748,0,0,448565248,9263697920,40427520,6518980608,120,0,0,52989952,43311104,984289280,
01-06 10:12:15,19.500,80,0.500,0,0,449679360,9231663104,40427520,6549278720,60,0,0,0,43311104,984289280,
01-06 10:12:16,17.500,81.750,0.750,0,0,449335296,9203068928,40427520,6577238016,60,0,0,0,43311104,984289280,
01-06 10:12:17,18.953,76.808,0.998,3.242,0,450453504,9173774336,40562688,6604681216,0,0,0,31178752,43311104,984289280,
01-06 10:12:18,18.500,80.750,0.750,0,0,450002944,9146441728,40562688,6631518208,60,0,0,0,43311104,984289280,
01-06 10:12:19,20.250,79.500,0.250,0,0,450080768,9116184576,40562688,6660898816,0,0,0,1486848,43311104,984289280,
01-06 10:12:20,20.250,79,0.750,0,0,449343488,9088077824,40562688,6689140736,60,0,0,0,43311104,984289280,
01-06 10:12:21,16.834,82.663,0.503,0,0,449880064,9058250752,40562688,6717427712,0,0,0,0,43311104,984289280,
01-06 10:12:22,18.388,76.826,1.763,3.023,0,449941504,9031626752,40710144,6743244800,60,0,12288,719093760,43311104,984289280,
01-06 10:12:23,21.554,76.190,1.253,1.003,0,449241088,9001439232,40710144,6773391360,0,0,0,188829696,43311104,984289280,
01-06 10:12:24,20.500,78.750,0.750,0,0,448888832,8970838016,40710144,6803349504,60,0,0,0,43311104,984289280,
01-06 10:12:25,18.797,81.203,0,0,0,450236416,8941613056,40710144,6830395392,0,0,0,0,43311104,984289280,
01-06 10:12:26,19.750,79.250,1,0,0,449314816,8910811136,40710144,6861316096,60,0,0,0,43311104,984289280,
01-06 10:12:27,18.892,75.819,1.763,3.526,0,450142208,8883281920,40853504,6887276544,0,0,8192,207282176,43311104,984289280,
01-06 10:12:28,19.500,78.500,0.750,1.250,0,449761280,8855539712,40853504,6914711552,60,0,0,108224512,43311104,984289280,
01-06 10:12:29,18.342,80.402,0.754,0.503,0,448532480,8829247488,40853504,6941421568,0,0,0,106876928,43311104,984289280,
01-06 10:12:30,18,81.250,0.750,0,0,449478656,8799793152,40853504,6968942592,60,0,0,0,43311104,984289280,
