"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud107",,,,"User:","gsd"
"Cmdline:","dstat --time --cpu --mem --net --disk --swap --output /mnt/nvme/tracing_data/sysdig/dstat.csv",,,,"Date:","31 May 2023 15:37:53 WEST"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"swap",
"time","usr","sys","idl","wai","stl","used","free","buff","cach","recv","send","read","writ","used","free"
31-05 15:42:53,30.075,68.170,1.754,0,0,1665511424,13307785216,39890944,1399877632,58827,4921767,0,0,43376640,984223744,
31-05 15:42:54,29,70.250,0.750,0,0,1666625536,13308203008,39890944,1398345728,66547,4266353,0,0,43376640,984223744,
31-05 15:42:55,30.653,68.342,1.005,0,0,1666576384,13307518976,39890944,1399078912,56037,4921747,0,0,43376640,984223744,
31-05 15:42:56,32.242,66.499,1.259,0,0,1666162688,13308104704,39890944,1398906880,68867,5573515,0,0,43376640,984223744,
31-05 15:42:57,27.250,69,1.250,2.500,0,1667264512,13305933824,40017920,1399848960,51732,3925061,0,31129600,43376640,984223744,
31-05 15:42:58,30,69.500,0.500,0,0,1666883584,13306601472,40017920,1399566336,63770,4917371,0,0,43376640,984223744,
31-05 15:42:59,31.579,67.669,0.752,0,0,1665511424,13307031552,40017920,1400508416,65700,5249900,0,0,43376640,984223744,
31-05 15:43:00,28.180,71.072,0.748,0,0,1667084288,13305405440,40017920,1400565760,57979,3608615,0,0,43376640,984223744,
31-05 15:43:01,33.753,65.491,0.756,0,0,1665904640,13307441152,40017920,1399709696,63320,5577846,0,0,43376640,984223744,
31-05 15:43:02,30.075,65.664,1.003,3.258,0,1665015808,13306531840,40144896,1401380864,60710,4265735,0,31137792,43376640,984223744,
31-05 15:43:03,30.075,69.674,0.251,0,0,1665155072,13303832576,40144896,1403940864,61546,4606616,0,0,43376640,984223744,
31-05 15:43:04,29.899,68.593,1.508,0,0,1664827392,13307932672,40144896,1400168448,60472,4921640,0,0,43376640,984223744,
31-05 15:43:05,37.905,61.845,0.249,0,0,1664626688,13309313024,40144896,1398988800,63126,5262464,0,0,43376640,984223744,
31-05 15:43:06,36.341,63.158,0.501,0,0,1665548288,13305516032,40144896,1401868288,69599,4599276,0,0,43376640,984223744,
31-05 15:43:07,34.171,63.317,0.754,1.759,0,1665282048,13307625472,40271872,1399898112,59570,5249224,0,31121408,43376640,984223744,
31-05 15:43:08,30.653,69.095,0.251,0,0,1665175552,13304324096,40271872,1403310080,61169,4593796,0,0,43376640,984223744,
31-05 15:43:09,30.250,68.750,1,0,0,1665761280,13308145664,40271872,1398902784,60160,4594559,0,0,43376640,984223744,
31-05 15:43:10,25.628,73.869,0.503,0,0,1665011712,13308940288,40271872,1398857728,53738,3937442,0,1691648,43376640,984223744,
31-05 15:43:11,29.899,69.095,1.005,0,0,1664122880,13307604992,40271872,1401081856,57052,4288636,0,0,43376640,984223744,
31-05 15:43:12,28.715,67.254,1.511,2.519,0,1664741376,13307539456,40398848,1400401920,55314,4265556,0,31154176,43376640,984223744,
31-05 15:43:13,29.471,70.277,0.252,0,0,1666064384,13307928576,40398848,1398689792,59367,4265664,0,0,43376640,984223744,
31-05 15:43:14,28.070,71.429,0.501,0,0,1665200128,13308313600,40398848,1399169024,53294,4594240,0,0,43376640,984223744,
31-05 15:43:15,29.146,70.603,0.251,0,0,1664630784,13306245120,40398848,1401806848,59804,4593734,0,0,43376640,984223744,
31-05 15:43:16,33.083,65.915,1.003,0,0,1665744896,13306195968,40398848,1400545280,71617,4927260,0,184320,43376640,984223744,
31-05 15:43:17,34.750,62.750,1,1.500,0,1665433600,13305786368,40525824,1401139200,64501,5578094,0,31125504,43376640,984223744,
31-05 15:43:18,35.589,63.910,0.501,0,0,1665576960,13306630144,40525824,1400152064,69094,5578719,0,0,43376640,984223744,
31-05 15:43:19,28.894,70.352,0.754,0,0,1665298432,13306187776,40525824,1400877056,55447,4265645,0,0,43376640,984223744,
31-05 15:43:20,27.318,72.180,0.501,0,0,1664831488,13307932672,40525824,1399599104,63551,4265448,0,0,43376640,984223744,
