#strace - events; complete; incomplete;
raw; 72568068; 0;
detailedP_{args}; 67150556; 0;
detailedP_{all}; 57486611; 0;
detailedP_{all}C_{plain}; 48326868; 0;


#strace - throughput
raw; 44251.084; 145.029;
detailedP_{args}; 41009.788; 112.008;
detailedP_{all}; 35104.221; 84.054;
detailedP_{all}C_{plain}; 29506.706; 121.176;


#sysdig-file - events; complete; incomplete;
detailedP_{all}; 234890682; 41;
detailedP_{all}C_{plain}; 208150806; 41;


#sysdig-file - throughput
detailedP_{all}; 143485.224; 213.507;
detailedP_{all}C_{plain}; 127140.22; 355.966;


#sysdig-elk - events; complete; incomplete;
detailedP_{all};2082381;131;
detailedP_{all}C_{plain};1854211;314;


#sysdig-elk - throughput
detailedP_{all};146328.565; 1831.087;
detailedP_{all}C_{plain};145444.36; 1043.606;


#dio-file; calls; calls-DEV; calls\\\_event\\\_path; calls\\\_event\\\_path-DEV; calls\\\_process; calls\\\_process-DEV; discarded; discarded-DEV; errors; errors-DEV; handled; handled-DEV; incomplete; incomplete-DEV; incomplete\\\_event\\\_path; incomplete\\\_event\\\_path-DEV; incomplete\\\_process; incomplete\\\_process-DEV; lost; lost-DEV; lost\\\_event\\\_path; lost\\\_event\\\_path-DEV; lost\\\_process; lost\\\_process-DEV; returned; returned-DEV; returned\\\_event\\\_path; returned\\\_event\\\_path-DEV; returned\\\_process; returned\\\_process-DEV; saved; saved-DEV; saved\\\_event\\\_path; saved\\\_event\\\_path-DEV; saved\\\_process; saved\\\_process-DEV; truncated; truncated-DEV;
raw;134169802.0; 205889.158; 0.0; 0.0; 27.0; 0.0; 0.0; 0.0; 6534.0; 0.0; 134169816.0; 205889.158; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 134169802.0; 205889.158; 0.0; 0.0; 14.0; 0.0; 134169802.0; 205889.158; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0;
detailedP_{fds};134974125.0; 8265492.145; 9003859.0; 551033.395; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 142500083.0; 6257911.238; 0.0; 0.0; 1068998.0; 1851558.849; 0.0; 0.0; 1385532.667; 2399812.974; 92376.333; 160000.503; 0.0; 0.0; 133588586.333; 5866803.386; 8911482.667; 391107.852; 14.0; 0.0; 133588586.333; 5866803.386; 7842484.667; 1460778.274; 0.0; 0.0; 0.0; 0.0;
detailedP_{all};160193359.667; 589753.035; 10685155.0; 39312.886; 27.0; 0.0; 6.0; 0.0; 6534.0; 0.0; 116168071.333; 229177.319; 19531801.667; 22234.134; 6515490.0; 6832.94; 0.0; 0.0; 51290941.0; 804457.931; 3419509.0; 53661.745; 1.333; 0.577; 108902412.667; 214820.069; 7265646.0; 14357.395; 12.667; 0.577; 108902412.667; 214820.069; 750156.0; 8169.588; 0.0; 0.0; 0.0; 0.0;
