vanilla; used; free; buff; cach;
vanilla;333962710.9;13897746292;49474827.84;2126883324;


strace; used; free; buff; cach;
raw;373462537.7;10071361031;53400917.33;5798209888;
detailedP_{args};372034564.2;10016535919;51432446.11;5855068565;
detailedP_{all};372559102.2;9593471315;51001067.45;6266861385;
detailedP_{all}C_{plain};370624224.8;212797090.7;53143092.09;15328100649;


sysdig-file; used; free; buff; cach;
detailedP_{all};434065182.2;3458345200;48745917.14;12164458616;
detailedP_{all}C_{plain};427728023.2;313667843.1;51497056.23;15092753430;


sysdig-elk; used; free; buff; cach;
detailedP_{all};1637176534;13299595001;48468543.83;1441692811;
detailedP_{all}C_{plain};1634287011;13289321328;49167997.59;1454327578;


dio-file; used; free; buff; cach;
raw;1733735993; 274642100.7; 53008027.13; 13969332923;
detailedP_{fds}; 2073954335; 246497990.7; 53093352.13; 13661053711;
detailedP_{all};2039397624;493430766.6;53072853.95;13473501101;
detailedP_{all}C_{uhash};3122126807;918608060.7;53820991.46;12021762729;
detailedP_{all}C_{khash};2021473993;560821299.9;52514565.97;13428758821;


dio-elk; used; free; buff; cach;
raw;2291351990;12674158259;51889873.69;1419062320;
detailedP_{fds};2576136473;12390048506;51285788.7;1418941449;
detailedP_{all};2568601685;12398274412;51103000.72;1418492426;
detailedP_{all}C_{uhash};3736791456;11229476671;51276896.6;1418797695;
detailedP_{all}C_{khash};2591870630;12375447250;50884829.24;1418259577;
